word,grade,pos,frequency
είναι,2,verb,945
καθε,2,adj,324
εχει,2,verb,313
παιδιά,2,noun,301
λέξεις,2,noun,255
ήταν,2,verb,235
ποσά,2,noun,225
ταξη,2,noun,207
αυτό,2,adj,186
εχουν,2,verb,181
άσκηση,2,noun,165
αριθμούς,2,noun,163
πολύ,2,adj,159
είπε,2,verb,153
μπορείς,2,verb,151
αυτά,2,adj,141
ζωα,2,noun,133
ποια,2,adj,133
υπολογίζω,2,verb,132
όλα,2,adj,129
σχολειο,2,noun,129
σωστά,2,adj,125
παιδι,2,noun,122
ποιό,2,adj,117
ολοι,2,adj,115
γράψε,2,verb,111
διάβασε,2,verb,110
χρώματα,2,noun,109
ελέγχω,2,verb,108
ώρα,2,noun,106
τετράδιό,2,noun,103
κανει,2,verb,102
αλλα,2,adj,99
βιβλίο,2,noun,99
πολλα,2,adj,98
φορά,2,noun,98
αυτή,2,adj,97
γράμματά,2,noun,97
χαρά,2,noun,97
συνολικά,2,adj,96
άλλο,2,adj,95
εκτιμώ,2,verb,95
γράφεις,2,verb,93
μπορεί,2,verb,93
πρέπει,2,verb,93
αριθμό,2,noun,92
ενοτητα,2,noun,92
μάθε,2,verb,90
σπίτι,2,noun,90
συμπληρώνω,2,verb,90
λέει,2,verb,87
πίνακα,2,noun,87
μπορούμε,2,verb,86
μέρα,2,noun,84
σελίδα,2,noun,84
υπάρχουν,2,verb,84
προπαίδεια,2,noun,83
νερό,2,noun,81
σειρά,2,noun,81
συζητάμε,2,verb,79
ΖΩΗ,2,noun,78
κατι,2,adj,77
τρόπο,2,noun,77
χρονιά,2,noun,77
αυτές,2,adj,76
είχε,2,verb,76
λέξη,2,noun,76
πόσες,2,adj,76
φυτά,2,noun,76
ποιος,2,adj,75
ομάδα,2,noun,72
σχήματα,2,noun,71
φορές,2,noun,71
παιχνίδια,2,noun,70
παρατηρώ,2,verb,70
έκανε,2,verb,69
ιστορια,2,noun,69
λεξικό,2,noun,69
ακρίβεια,2,noun,68
γιαγιά,2,noun,68
κείμενο,2,noun,68
βρίσκω,2,verb,67
έχω,2,verb,67
ίδιο,2,adj,67
ίδια,2,adj,66
μικρός,2,noun,66
χαρτί,2,noun,66
βρείς,2,verb,65
εικόνα,2,noun,65
κομμάτια,2,noun,65
άνθρωποι,2,noun,64
μπλε,2,noun,63
παράδειγμα,2,noun,63
παιχνίδι,2,noun,62
σχήμα,2,noun,62
κάνουν,2,verb,59
προβλήματα,2,noun,59
άλλη,2,adj,58
έχεις,2,verb,58
ρέστα,2,noun,58
