word,grade,pos,frequency,hint,explanation,source
πού,4,other,883,πού μένεις;,,glossa-d-dim:ερωτηματική
κάτι,4,noun,67,Θέλετε να διηγηθείτε κάτι από αυτές τις διακοπές που θα σας μείνει αξέχαστο;,,glossa-d-dim:ομόηχο
χωρίς,4,noun,37,"Ξαναγράψτε τους παραπάνω στίχους του ποιήματος, χωρίς τα εισαγωγικά, αρχίζοντας έτσι: Ο…",,glossa-d-dim:ομόηχο
μήνυμα,4,noun,18,Άφησα ένα μήνυμα στο τηλέφωνο.,,glossa-d-dim:ομόηχο
κλίνονται,4,noun,17,Υπογραμμίστε τα ρήματα που κλίνονται όπως το κυλάω και έχουν κι αυτά δύο τύπους.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,glossa-d-dim:ομόηχο
είχα,4,noun,19,Όλης της γης είχα γραμμένη την ομορφάδα και χαρά.,,glossa-d-dim:ομόηχο
τόπος,4,noun,4,"Στο σχολείο, μιλάμε για τόπος.",,glossa-d-dim:ομόηχο
μουσείο,4,noun,9,Πήγαμε εκδρομή στο μουσείο.,,glossa-d-dim:ομόηχο
δεθεί,4,verb,36,Το σχοινί πρέπει να δεθεί καλά.,,glossa-d-dim:ομόηχο
δέσει,4,verb,35,"Στο σχολείο, μιλάμε για δέσει.",,glossa-d-dim:ομόηχο
σύγκριση,4,noun,4,"Στην τάξη, γράφουμε τη λέξη που σημαίνει σύγκριση.",Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,glossa-d-dim:ομόηχο
παγκόσμιος,4,noun,5,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: παγκόσμιος.,Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,glossa-d-dim:ομόηχο
φανταστικός,4,noun,2,"Στο σχολείο, μιλάμε για φανταστικός.",Λέξη από ασκήσεις ορθογραφίας / οικογένεια λέξεων στο βιβλίο.,glossa-d-dim:ομόηχο
μύνημα,4,noun,2,"Στην τάξη, γράφουμε τη λέξη που σημαίνει μύνημα.",,glossa-d-dim:ομόηχο
ιστός,4,noun,7,Η λέξη ιστός έχει πολλές σημασίες.,,glossa-d-dim:ομόηχο
πώς,4,other,191,πώς σε λένε;,,glossa-d-dim:ερωτηματική
τετράγωνο,4,noun,5,Το τετράγωνο έχει τέσσερις ίσες πλευρές.,,glossa-d-dim:σχήμα
ένα,4,number,339,Έχω ένα μήλο στο χέρι.,,glossa-d-dim:αριθμός
κακός,4,adjective,4,Ο λύκος στο παραμύθι είναι κακός.,,glossa-d-dim:αντίθετα
άρχισες,4,noun,2,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: άρχισες.,,glossa-d-dim:αντίθετα
ξεκολλώ,4,verb,1,Προσπαθώ να ξεκολλώ το αυτοκόλλητο.,,glossa-d-dim:αντίθετα
αρχίσει,4,verb,8,Ευτυχώς φτάσαμε στο θέατρο πριν αρχίσει η παράσταση.,,glossa-d-dim:αντίθετα
ανυπάκουος,4,adjective,1,Το ανυπάκουος παιδί δεν κάθεται ήσυχα.,,glossa-d-dim:αντίθετα
άγνωστος,4,adjective,2,Ένας άγνωστος χτύπησε την πόρτα.,,glossa-d-dim:αντίθετα
μία,4,number,300,Έφαγα μία τούρτα στη γιορτή.,,glossa-d-dim:αριθμός
αρχίσαμε,4,verb,3,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: αρχίσαμε.,,glossa-d-dim:αντίθετα
γνωστός,4,adjective,2,Αυτός ο δρόμος μου είναι γνωστός.,,glossa-d-dim:αντίθετα
ακίνητος,4,adjective,1,Ο στρατιώτης έμεινε ακίνητος.,,glossa-d-dim:αντίθετα
κινητός,4,adjective,1,Ο κινητός τροχός γυρίζει.,,glossa-d-dim:αντίθετα
ξεμπερδεύω,4,verb,1,Η δασκάλα με βοηθά να ξεμπερδεύω την άσκηση.,,glossa-d-dim:αντίθετα
υπάκουος,4,adjective,1,Ο υπάκουος μαθητής ακούει τη δασκάλα.,,glossa-d-dim:αντίθετα
κολλώ,4,verb,1,Με την κόλλα κολλώ τα χαρτιά.,,glossa-d-dim:αντίθετα
μπερδεύω,4,verb,2,Μην μπερδεύω τις λέξεις όταν διαβάζεις.,,glossa-d-dim:αντίθετα
ξεδιψώ,4,verb,2,Με το νερό ξεδιψώ αμέσως.,,glossa-d-dim:αντίθετα
αρχίσω,4,verb,9,Με αυτή τη λέξη ονομάζουμε κάτι γύρω μας: αρχίσω.,,glossa-d-dim:αντίθετα
άκακος,4,adjective,1,Το αρνάκι είναι άκακος και ήσυχο.,,glossa-d-dim:αντίθετα
διψώ,4,verb,2,"Όταν τρέχω πολύ, διψώ.",,glossa-d-dim:αντίθετα
τι,4,other,235,τι θέλεις να φάμε;,,glossa-d-dim:ερωτηματική
γιατί,4,other,121,γιατί χαμογελάς;,,glossa-d-dim:ερωτηματική
αφού,4,noun,37,"Συμπληρώστε τις παρακάτω προτάσεις, αφού βρείτε στο κείμενο τις λέξεις που λείπουν.",,glossa-d-dim
ποιητής,4,noun,11,Ο ποιητής έγραψε ένα όμορφο ποίημα.,,glossa-d-dim
γεύσεις,4,verb,10,Βάλτε λίγο λάδι στις λέξεις και φτιάξτε καινούριες λέξεις και γεύσεις!,,glossa-d-dim
ένας,4,number,54,ένας φίλος με περίμενε.,,glossa-d-dim:αριθμός
δύο,4,number,77,Έχω δύο αδέρφια.,,glossa-d-dim:αριθμός
τρεις,4,number,28,Οι τρεις φίλοι παίζουν μαζί.,,glossa-d-dim:αριθμός
ποιος,4,other,27,ποιος ήρθε πρώτος στην τάξη;,,glossa-d-dim:ερωτηματική
Ελλάδα,4,noun,37,Ζούμε στην Ελλάδα.,,glossa-d-dim:χώρα
λάδι,4,noun,23,Βάζουμε λίγο λάδι στο τηγάνι πριν μαγειρέψουμε.,,glossa-d-dim
πάλι,4,noun,16,Από την επιφάνεια της γης πάω μέχρι την ατμόσφαιρα και ύστερα γυρνάω πάλι πίσω.,,glossa-d-dim
έλληνας,4,noun,4,Μόνο ένας έλληνας να μείνει πάντα θα πο λεμούμε.,,glossa-d-dim
