word,grade,pos,frequency,hint,explanation,source
ένα,3,number,201,Έχω ένα μήλο στο χέρι.,,glossa-c-dim:αριθμός
δύο,3,number,71,Έχω δύο αδέρφια.,,glossa-c-dim:αριθμός
εννιά,3,number,24,Το εννιά είναι πριν από το δέκα.,,glossa-c-dim:αριθμός
κρύβομαι,3,noun,4,Κρύβομαι πίσω από την πόρτα στο κρυφτό.,,glossa-c-dim:curated
φοβάμαι,3,noun,4,Φοβάμαι λίγο το σκοτάδι.,,glossa-c-dim:curated
απορρίμματα,3,noun,4,Βάζουμε τα απορρίμματα στον κάδο.,"Σκουπίδια· ό,τι πετάμε.",glossa-c-dim:curated
ευγενικός,3,adjective,5,Ο ευγενικός κύριος άνοιξε την πόρτα.,,glossa-c-dim:επίθετο:-ος
κολύμπι,3,noun,3,Κάναμε κολύμπι στην πισίνα.,,glossa-c-dim:curated
κολυμπώ,3,noun,2,Το καλοκαίρι κολυμπώ στη θάλασσα.,,glossa-c-dim:curated
ψαρεύω,3,noun,2,Ο παππούς πάει να ψαρέψει.,,glossa-c-dim:curated
πονηρός,3,adjective,3,Ο πονηρός λαγός έστησε παγίδα.,Πονηρός· σκέφτεται κόλπα.,glossa-c-dim:επίθετο:-ος
επίσημος,3,adjective,2,Φόρεσε επίσημα ρούχα στη γιορτή.,"Κανονικός, σοβαρός· για σημαντικές στιγμές.",glossa-c-dim:επίθετο:-ος
μυστηριώδης,3,adjective,2,Άκουσα μια μυστηριώδη φωνή.,Κάποιος ή κάτι που κρύβει ένα μυστήριο.,glossa-c-dim:επίθετο:-ης
χρωματιστός,3,adjective,2,Φόρεσα χρωματιστό σκούφο.,Με χρώμα· όχι μονόχρωμος.,glossa-c-dim:επίθετο:-ος
περσίδες,3,noun,2,Άνοιξα τις περσίδες να μπει φως.,Λεπτές λωρίδες στο παράθυρο που ρυθμίζουν το φως.,glossa-c-dim:γλωσσάριο
σκουπιδότοπος,3,noun,5,Ο σκουπιδότοπος μύριζε άσχημα.,Μέρος όπου μαζεύονται τα σκουπίδια.,glossa-c-dim:curated
βρομίζω,3,noun,2,Μην βρομίζεις το πάτωμα με λάσπη.,,glossa-c-dim:curated
κολυμβητής,3,noun,2,Ο κολυμβητής κέρδισε το μετάλλιο.,Αυτός που κολυμπά καλά.,glossa-c-dim:curated
χρωματίζω,3,noun,2,Χρωματίζω την εικόνα με μαρκαδόρους.,,glossa-c-dim:curated
ψαρόβαρκα,3,noun,2,Η ψαρόβαρκα έδεσε στο λιμάνι.,Βάρκα για ψάρεμα.,glossa-c-dim:curated
τρία,3,number,14,Βλέπω τρία αστέρια.,,glossa-c-dim:αριθμός
απορριμματοφόρο,3,noun,5,Πέρασε το απορριμματοφόρο το πρωί.,Το φορτηγό που μαζεύει τα σκουπίδια.,glossa-c-dim:curated
βρόμικος,3,adjective,2,Ο βρόμικος δρόμος γέμισε λάσπη.,Γεμάτος βρομιά· όχι καθαρός.,glossa-c-dim:επίθετο:-ος
πρόσχαρος,3,adjective,2,Ο πρόσχαρος γείτονας μας χαιρέτησε.,Κάποιος που χαμογελάει και είναι φιλικός.,glossa-c-dim:επίθετο:-ος
βρομιά,3,noun,2,Καθαρίσαμε τη βρομιά από τα παπούτσια.,,glossa-c-dim:curated
πρόθυμος,3,noun,2,Ο πρόθυμος μαθητής βοήθησε αμέσως.,Κάποιος που θέλει να βοηθήσει αμέσως.,glossa-c-dim:γλωσσάριο
παγωνιά,3,adjective,6,Το πρωί είχε παγωνιά στο χωριό.,Πολύ δυνατή παγωνιά· πολύ κρύο.,glossa-c-dim:αντίθετα
ψύχρα,3,adjective,2,Το βράδυ νιώθαμε ψύχρα στην αυλή.,Ελαφρύ κρύο στον αέρα.,glossa-c-dim:αντίθετα
ζέστη,3,adjective,5,Στη ζέστη πίνουμε πολύ νερό.,,glossa-c-dim:αντίθετα
καύσωνας,3,adjective,2,Τον Αύγουστο έπεσε καύσωνας.,Πολύ δυνατή ζέστη.,glossa-c-dim:αντίθετα
άνθρωπ,3,noun,9,Γράφουμε σωστά τη λέξη «άνθρωπ».,,glossa-c-dim:αντίθετα
κρύο,3,adjective,4,Το κρύο μας έκανε να τρέμουμε.,,glossa-c-dim:αντίθετα
μία,3,number,190,Έφαγα μία τούρτα στη γιορτή.,,glossa-c-dim:αριθμός
γειτονιά,3,noun,23,Από το σπίτι και τη γειτονιά μέχρι το σχολείο η ζωή έχει μεγάλο ενδιαφέρον!,,glossa-c-dim
έτοιμος,3,noun,7,Είναι έτοιμος να ρίξω μέσα τα πρωινά ψητά: του θείου μου το αρνί.,,glossa-c-dim
μένω,3,verb,8,Σήμερα μαθαίνουμε να γράφουμε σωστά το ρήμα «μένω».,,glossa-c-dim
αριθμός,3,noun,36,Ο αριθμός των έργων που θα κυκλοφορήσουν είναι μικρός.,,glossa-c-dim
άρρωστος,3,noun,6,Χθες δεν ήρθα στο σχολείο γιατί ήμουν άρρωστος.,,glossa-c-dim
βουνό,3,noun,6,"Ο βράχος απάνω στον βράχο, ο λόφος απάνω στον λόφο σχημάτιζαν το βουνό.",,glossa-c-dim
τηλεόραση,3,noun,10,Η τηλεόραση είναι μια χρήσιμη λέξη.,,glossa-c-dim
γείτονας,3,noun,4,Ο γείτονας φαίνεται στο κείμενο.,,glossa-c-dim
γειτονικός,3,noun,4,Ο γειτονικός φαίνεται στο κείμενο.,,glossa-c-dim
ήτανε,3,noun,18,"Όμως, η δουλειά στο ραφτάδικο ήτανε σκληρή και το αφεντικό δε χωράτευε*.",,glossa-c-dim
επειδή,3,noun,17,Συχνά σταματάμε έτσι την πρόταση επειδή νιώθουμε έντονα συναισθήματα γι’ αυτό που λέμε.,,glossa-c-dim
διότι,3,noun,6,Γράφουμε σωστά τη λέξη «διότι».,,glossa-c-dim
αφού,3,noun,12,"Αφού παιδεύτηκα να λύσω τα προβλήματα της Αριθμητικής, ετοιμάστηκα για να βγω να παίξω.",,glossa-c-dim
σκουπίζω,3,verb,7,Σκουπίζω την αυλή κάθε πρωί.,,glossa-c-dim
μιλάει,3,verb,5,"Καταλαβαίνουμε ότι μιλάει σ’ αυτόν από τις λέξεις: σου, σε.",,glossa-c-dim
μετακομίζω,3,verb,3,Σήμερα μαθαίνουμε να γράφουμε σωστά το ρήμα «μετακομίζω».,,glossa-c-dim
Παρασκευή,3,noun,7,Την Παρασκευή ανυπομονούμε για το Σαββατοκύριακο.,,glossa-c-dim:ημέρα
περπατάει,3,verb,5,Αναρωτιέται πώς είναι να περπατάει κανείς στα εννιά!,,glossa-c-dim
τραγουδάει,3,verb,4,"Παρατηρώ και μαθαίνω Η Αργυρώ γελάει, η Αργυρώ τραγουδάει.",,glossa-c-dim
ανακάτευε,3,noun,6,Γράφουμε σωστά τη λέξη «ανακάτευε».,,glossa-c-dim
ρομπότ,3,noun,16,Το ρομπότ δουλεύει στο εργοστάσιο.,Μηχανή που κάνει δουλειές μόνη της.,glossa-c-dim:curated
ετοιμάζω,3,verb,4,"Πήγαινε, μωρέ, να φέρεις κόσμο κι εγώ να ετοιμάζω τα φουρνόξυλα και τις πινακωτές.",,glossa-c-dim
ένας,3,number,42,Ένας φίλος με περίμενε.,,glossa-c-dim:αριθμός
θυμώνω,3,verb,3,"Όταν θυμώνω ή φοβάμαι, χώνομαι κάτω από τον καναπέ.",,glossa-c-dim
