word,grade,pos,frequency,hint,explanation,source
άγνωστο,5,noun,2,Το άγνωστο νησί φαίνεται μακριά στον χάρτη.,,Τεύχος 1
άγνωστος,5,adjective,4,Ένας άγνωστος χτύπησε την πόρτα.,,Τεύχη 1+2
άθληση,5,noun,4,Η έφεση* για άθληση είναι διάχυτη* και στην Ιλιάδα και στην Οδύσσεια.,,Τεύχος 3
άκακος,5,adjective,2,Το αρνάκι είναι άκακο και ήσυχο.,,Τεύχος 3
άλογα,5,noun,3,Τα άλογα τρέχουν στον αγρό.,,Τεύχη 1+2
άνθρωποι,5,noun,27,Μεξικό Στο Μεξικό οι άνθρωποι διασκεδάζουν πολύ!,,Και τα τρία
άνθρωπος,5,noun,7,Ο άνθρωπος περπατά στον δρόμο.,,Και τα τρία
άνοιξη,5,noun,2,Την άνοιξη ανθίζουν τα δέντρα.,,Τεύχη 1+2
άσπρο,5,adjective,4,Το χιόνι είναι άσπρο.,,Τεύχη 1+3
άσπρος,5,adjective,3,Ο άσπρος τοίχος λάμπει στον ήλιο.,,Τεύχη 1+2
άσχημο,5,adjective,1,Το άσχημο σύννεφο φέρνει βροχή.,,Τεύχος 3
έγραψα,5,noun,5,Τι μου άρεσε περισσότερο απ’ όσα έγραψα;,,Και τα τρία
έκανε,5,noun,19,"Υπήρχε η ώρα που έκανε κρύο, ζέστη, που είχε βροχή ή αέρα.",,Και τα τρία
έρθει,5,verb,10,Ο Νίκος δε θα έρθει στη συναυλία.,,Τεύχη 1+2
έτσι,5,noun,72,"έτσι κι αλλιώς, ο ήλιος έλα μπε για όλα.",,Και τα τρία
ήρθε,5,noun,15,Έλα όμως που ήρθε και η νύχτα...,,Και τα τρία
ήρωες,5,noun,19,"Διαλέξτε τους «ήρωες» σας, όπως ο Πορκιουπίνος και ο Τιμ στο κείμενο που διαβάσατε.",,Και τα τρία
ίδιο,5,noun,26,Προσο χή: το αρσενικό και το θηλυκό κλίνονται με τον ίδιο τρόπο.,,Και τα τρία
ίσως,5,noun,11,"ίσως να χρειαστεί να γράψω πολλούς τόμους, γιατί θα έχει πολλά πεινάω.",,Και τα τρία
αγώνα,5,noun,14,Ο σκίουρος έβλεπε κάπως μικρό το μερμήγκι για έναν τόσο μεγάλο αγώνα.,,Και τα τρία
αγώνες,5,noun,22,Διασκεδάστε κάνοντας αγώνες με την Δ΄ ή την Στ΄ τάξη!,,Τεύχη 2+3
αγώνισμα,5,noun,3,Οι Φαίακες συχνά τονίζουν: «ο Οδυσσέας δείχνει έμπειρος» και «φαίνεται να ξέρει από…,,Τεύχος 3
αθήνα,5,noun,257,"Πατάκη, αθήνα, 1999 25 • Μην ακούτε μουσική με τον ήχο στη διαπασών.",,Και τα τρία
αιτιολογικές,5,noun,4,Οι αιτιολογικές προτάσεις εξηγούν το γιατί.,,Και τα τρία
ακίνητος,5,adjective,2,Ο στρατιώτης έμεινε ακίνητος.,,Τεύχος 3
ακριβέστερα,5,noun,2,"Πες το ακριβέστερα, για να σε καταλάβουμε.",,Τεύχος 3
ακριβώς,5,noun,7,Στις έξι ακριβώς κατέφθασαν οι πρώτοι: ο Άκης και η Παυλίνα.,,Και τα τρία
ακτύπη,5,noun,12,"Χρόνια πολλά, χρόνια πολλά» ευχήθηκαν όλοι στον ακτύπη.",,Τεύχος 1
ακτύπης,5,noun,11,Ο ακτύπης πετάχτηκε σαν ελατήριο από το κρεβάτι του και όρμησε στην κουζίνα...,,Τεύχος 1
ακόμη,5,noun,12,"Κατοχή Αλήθεια, δάση και βουνά υπάρχουν στον κόσμο ακόμη;",,Και τα τρία
αλήθεια,5,noun,8,"Κατοχή αλήθεια, δάση και βουνά υπάρχουν στον κόσμο ακόμη;",,Και τα τρία
αλλάξει,5,verb,2,Από καιρό σκόπευε να αλλάξει το κόκκινο παλτό του με την άσπρη γούνα.,,Τεύχη 2+3
αλλαγές,5,noun,5,Ποιες αλλαγές θα κάνατε στο κείμενο;,,Τεύχη 1+3
αλσέστ,5,noun,16,"Θα παίζαμε ένα ματς τρομερό, ο αλσέστ είναι απίθανος!",,Τεύχος 3
Αμερική,5,noun,8,Η Αμερική είναι μια μεγάλη ήπειρος και χώρα.,,Τεύχη 1+3
ανάβουν,5,verb,4,Στη συνέχεια τραγουδούν τα κάλαντα και ανάβουν κεριά.,,Τεύχος 2
ανάσταση,5,noun,8,ανάσταση Άκου τον ξάστερο ουρανό πώς οι καμπάνες σειούνε.,,Τεύχος 3
αναγνώριση,5,noun,3,Ζήτησε την αναγνώριση της προσπάθειάς του.,,Τεύχη 2+3
ανθολόγιο,5,noun,25,"Βρείτε από το ανθολόγιο τα ποιήματα: Ο κορυδαλλός, σελ.",,Και τα τρία
