word,grade,pos,hint,definition,family,synonyms,source,difficulty
αγελάδα,3,noun,Στην εικόνα βλέπω μια ___.,,,,mathima-orthografias,1
αγοράζω,3,verb,___ φρούτα από την αγορά.,,,,mathima-orthografias,1
αγωνία,3,noun,Περίμενα με ___ τα αποτελέσματα.,,,,mathima-orthografias,1
αναβάτης,3,noun,Έμαθα τι σημαίνει η λέξη ___.,,,,mathima-orthografias,2
αντιδράω,3,verb,Μην ___ άσχημα στις παρατηρήσεις.,,,,mathima-orthografias,2
βανίλια,3,noun,Το παγωτό ___ είναι το αγαπημένο μου.,,,,mathima-orthografias,1
βουτιά,3,noun,Στην εικόνα βλέπω μια ___.,,,,mathima-orthografias,1
βραβείο,3,noun,Στο μάθημα μιλήσαμε για το ___.,,,,mathima-orthografias,1
γίνομαι,3,verb,Θέλω να ___ γιατρός.,,,,mathima-orthografias,1
γαλλικός,3,adj,Η απάντηση ήταν ___.,,,,mathima-orthografias,2
γεφυρώνω,3,verb,Θέλω να ___ μαζί με τους φίλους μου.,,,,mathima-orthografias,2
γιρλάντα,3,noun,Περιγράψαμε την ___ στην έκθεση.,,,,mathima-orthografias,2
γκρινιάζω,3,verb,"Όταν τελειώσω τα μαθήματα, θα ___.",,,,mathima-orthografias,2
γράφομαι,3,verb,Χθες ___ για πολλή ώρα.,,,,mathima-orthografias,2
γυαλίζω,3,verb,Μπορώ να ___ χωρίς βοήθεια.,,,,mathima-orthografias,1
δένομαι,3,verb,Πρέπει να ___ πριν φύγουμε.,,,,mathima-orthografias,1
διαβάζω,3,verb,Κάθε βράδυ ___ ένα παραμύθι.,,,,mathima-orthografias,1
διακοπή,3,noun,Περιγράψαμε την ___ στην έκθεση.,,,,mathima-orthografias,1
δισέλιδο,3,noun,Στην εικόνα βλέπω ένα ___.,,,,mathima-orthografias,2
δισύλλαβη,3,noun,Στο μάθημα μιλήσαμε για την ___.,,,,mathima-orthografias,2
διώροφο,3,noun,Έβαλα το ___ στη σωστή θέση.,,,,mathima-orthografias,1
δούναβης,3,noun,Έμαθα τι σημαίνει η λέξη ___.,,,,mathima-orthografias,2
ελέφαντας,3,noun,Ο ___ έχει μεγάλη προβοσκίδα.,,,,mathima-orthografias,2
επιβάτης,3,noun,Περιγράψαμε τον ___ στην έκθεση.,,,,mathima-orthografias,2
επιμένω,3,verb,___ μέχρι να το μάθω.,,,,mathima-orthografias,1
επιστάτης,3,noun,Στο μάθημα μιλήσαμε για τον ___.,,,,mathima-orthografias,2
επιταγή,3,noun,Η ___ φαίνεται καθαρά στην πρόταση.,,,,mathima-orthografias,1
ζεσταίνω,3,verb,Στην τάξη μάθαμε πώς να ___.,,,,mathima-orthografias,2
ζητιάνος,3,noun,Χωρίς τον ___ δεν ολοκληρώνεται η πρόταση.,,,,mathima-orthografias,2
ζωγραφιά,3,noun,Κρέμασε τη ___ στον τοίχο.,,,,mathima-orthografias,2
θεϊκό,3,adj,Το γλυκό ήταν ___.,,,,mathima-orthografias,1
θησαυρός,3,noun,Στο μάθημα μιλήσαμε για τον ___.,,,,mathima-orthografias,2
θυμάμαι,3,verb,___ τα γενέθλιά σου.,,,,mathima-orthografias,1
κάθομαι,3,verb,Σήμερα θα ___ στο σπίτι.,,,,mathima-orthografias,1
κάτοικος,3,adj,Νιώθω ___ όταν το σκέφτομαι.,,,,mathima-orthografias,2
καΐκι,3,noun,Το ___ έδεσε στο λιμανάκι.,,,,mathima-orthografias,1
καρφίτσα,3,noun,Στην εικόνα βλέπω μια ___.,,,,mathima-orthografias,2
κασετίνα,3,noun,Στο μάθημα μιλήσαμε για την ___.,,,,mathima-orthografias,2
κατάψυξη,3,noun,Η ___ φαίνεται καθαρά στην πρόταση.,,,,mathima-orthografias,2
καταστρέφω,3,verb,Πρέπει να ___ πριν φύγουμε.,,,,mathima-orthografias,3
κελαηδώ,3,verb,Το πουλί ___ στο μπαλκόνι.,,,,mathima-orthografias,1
κιβώτιο,3,noun,Χωρίς το ___ δεν γίνεται η δουλειά.,,,,mathima-orthografias,1
κομπολόι,3,noun,Ο παππούς κρατάει ___.,,,,mathima-orthografias,2
κουβαλώ,3,verb,Στην τάξη μάθαμε πώς να ___.,,,,mathima-orthografias,1
λαϊκή,3,adj,Πήγαμε στην ___ αγορά.,,,,mathima-orthografias,1
λυπάμαι,3,verb,___ που δεν ήρθες.,,,,mathima-orthografias,1
μάλλινη,3,adj,Νιώθω ___ όταν το σκέφτομαι.,,,,mathima-orthografias,1
μαγεύω,3,verb,Πρέπει να ___ πριν φύγουμε.,,,,mathima-orthografias,1
μαθαίνω,3,verb,___ καινούργιες λέξεις.,,,,mathima-orthografias,1
μελανιά,3,noun,Στο μάθημα μιλήσαμε για την ___.,,,,mathima-orthografias,1
μηχανάκι,3,noun,Έβαλα το ___ στη σωστή θέση.,,,,mathima-orthografias,2
μονοπάτι,3,noun,Το ___ είναι χρήσιμο στην καθημερινή ζωή.,,,,mathima-orthografias,2
μπουκιά,3,noun,Χωρίς την ___ δεν προχωράμε.,,,,mathima-orthografias,1
νεράιδα,3,noun,Η ___ πέταξε με τη μαγεία της.,,,,mathima-orthografias,1
νηστεία,3,noun,Στην εικόνα βλέπω μια ___.,,,,mathima-orthografias,1
