word,grade,pos,hint,definition,family,synonyms,source,difficulty
άγαλμα,2,noun,Στην πλατεία υπάρχει ένα μεγάλο ___.,,,,mathima-orthografias,1
άσχημος,2,adj,Ο καιρός σήμερα είναι ___.,,,,mathima-orthografias,1
έκπληξη,2,noun,Μας περίμενε μια ωραία ___.,,,,mathima-orthografias,1
ένατη,2,noun,Έμαθα τι σημαίνει η λέξη ___.,,,,mathima-orthografias,1
έπιπλο,2,noun,Κοίταξα το ___ με περιέργεια.,,,,mathima-orthografias,1
έρημο,2,noun,Χωρίς το ___ δεν γίνεται η δουλειά.,,,,mathima-orthografias,1
έτος,2,noun,Το νέο ___ ξεκινά τον Ιανουάριο.,,,,mathima-orthografias,1
αγάπη,2,noun,Η μαμά μου δείχνει πολλή ___.,,,,mathima-orthografias,1
αγόρι,2,noun,Το ___ παίζει στην αυλή.,,,,mathima-orthografias,1
αλλαγή,2,noun,Έκανε ___ στην εμφάνισή του.,,,,mathima-orthografias,1
αμβλεία,2,noun,Χωρίς την ___ δεν προχωράμε.,,,,mathima-orthografias,1
ανθίζω,2,verb,Στην τάξη μάθαμε πώς να ___.,,,,mathima-orthografias,1
απαντώ,2,verb,___ στις ερωτήσεις της δασκάλας.,,,,mathima-orthografias,1
απλώνω,2,verb,___ τα ρούχα στην απλώστρα.,,,,mathima-orthografias,1
αράχνη,2,noun,Η ___ έφτιαξε ιστό.,,,,mathima-orthografias,1
αρχηγός,2,noun,Έμαθα τι σημαίνει η λέξη ___.,,,,mathima-orthografias,1
αυγό,2,noun,Το πρωί τρώω ένα βραστό ___.,,,,mathima-orthografias,1
βάμμα,2,noun,Χωρίς το ___ δεν γίνεται η δουλειά.,,,,mathima-orthografias,1
βάφω,2,verb,___ τον τοίχο μπλε.,,,,mathima-orthografias,1
βέργα,2,noun,Στο μάθημα μιλήσαμε για την ___.,,,,mathima-orthografias,1
βιβλίο,2,noun,Διαβάζω ένα ενδιαφέρον ___.,,,,mathima-orthografias,1
βιδώνω,2,verb,Χθες ___ για πολλή ώρα.,,,,mathima-orthografias,1
βλέμμα,2,noun,Κοίταξα το ___ με περιέργεια.,,,,mathima-orthografias,1
βοηθώ,2,verb,___ τη μαμά στο μαγείρεμα.,,,,mathima-orthografias,1
βραδιά,2,noun,Περάσαμε μια ήσυχη ___.,,,,mathima-orthografias,1
βροχή,2,noun,Έξω πέφτει δυνατή ___.,,,,mathima-orthografias,1
γέφυρα,2,noun,Περάσαμε τη ___ με προσοχή.,,,,mathima-orthografias,1
γήπεδο,2,noun,Παίζουμε ποδόσφαιρο στο ___.,,,,mathima-orthografias,1
γιατρός,2,noun,Ο ___ μέτρησε τον πυρετό.,,,,mathima-orthografias,1
γλυκός,2,adj,Ο χυμός είναι πολύ ___.,,,,mathima-orthografias,1
γυρίζω,2,verb,___ σπίτι μετά την προπόνηση.,,,,mathima-orthografias,1
δάκρυ,2,noun,Έτρεξε ένα ___ στο μάγουλό της.,,,,mathima-orthografias,1
