word,grade,pos,hint,definition,family,synonyms,source,difficulty
άγγελος,2,noun,Ο άγγελος φτερουγίζει στον ουρανό.,ουράνιο ον με φτερά,,,a_b_c_lexiko,2
άγευστος,2,adj,Το φαγητό ήταν άγευστο χωρίς αλάτι.,χωρίς γεύση,,,a_b_c_lexiko,1
άδικος,2,adj,Η απόφαση ήταν άδικη για όλους.,που δεν είναι δίκαιος,,,a_b_c_lexiko,1
άκακος,2,adj,Το αρνάκι είναι άκακο και ήσυχο.,"αθώος, χωρίς κακία",,,a_b_c_lexiko,1
άνοιγμα,2,noun,Το άνοιγμα της πόρτας άφησε να μπει φως.,το να ανοίγει κάτι,,,a_b_c_lexiko,2
άντρας,2,noun,Ο άντρας βοήθησε τη γιαγιά να περάσει τον δρόμο.,ενήλικος αρσενικός άνθρωπος,,,a_b_c_lexiko,1
άπειρος,2,adj,Είναι ακόμα άπειρος στη δουλειά.,χωρίς πείρα,,,a_b_c_lexiko,1
άπλωμα,2,noun,Το άπλωμα των ρούχων θέλει ήλιο.,το να απλώνεις κάτι,,,a_b_c_lexiko,1
ένοχος,2,adj,Ο κατηγορούμενος δήλωσε ένοχος.,που έχει ευθύνη για κάτι κακό,,,a_b_c_lexiko,1
έξυπνος,2,adj,Είναι έξυπνος και λύνει γρήγορα τις ασκήσεις.,με εξυπνάδα,,,a_b_c_lexiko,1
ήμερος,2,adj,Ο σκύλος είναι ήμερος και φιλικός.,"ήσυχος, εξημερωμένος",,,a_b_c_lexiko,1
ίππος,2,noun,Ο ίππος καλπάζει στο λιβάδι.,άλογο,,,a_b_c_lexiko,2
αέρας,2,noun,Ο αέρας φυσάει δυνατά σήμερα.,ατμόσφαιρα που αναπνέουμε,,,a_b_c_lexiko,1
αήττητος,2,adj,Η ομάδα έμεινε αήττητη όλη τη χρονιά.,που δεν νικήθηκε,,,a_b_c_lexiko,2
αίμα,2,noun,Το αίμα κυκλοφορεί στις φλέβες.,κόκκινο υγρό του σώματος,,,a_b_c_lexiko,1
αίσθηση,2,noun,Έχουμε πέντε αισθήσεις.,αντίληψη με τις αισθήσεις,,,a_b_c_lexiko,1
αγαπώ,2,verb,Αγαπώ την οικογένειά μου.,νιώθω αγάπη,,,a_b_c_lexiko,1
αγγίζω,2,verb,Μην αγγίζεις τη ζεστή κατσαρόλα.,ακουμπώ με το χέρι,,,a_b_c_lexiko,2
αγκάθι,2,noun,Πάτησα ένα αγκάθι στον κήπο.,μυτερό μέρος φυτού,,,a_b_c_lexiko,2
αγκαλιά,2,noun,Η μαμά με πήρε στην αγκαλιά της.,κράτημα με τα χέρια,,,a_b_c_lexiko,1
αγορά,2,noun,Πήγαμε στην αγορά για φρούτα.,μέρος όπου πουλάνε πράγματα,,,a_b_c_lexiko,1
αγρότης,2,noun,Ο αγρότης καλλιεργεί τα χωράφια.,που δουλεύει στη γη,,,a_b_c_lexiko,1
αγώνας,2,noun,Ο αγώνας ποδοσφαίρου ήταν συναρπαστικός.,διαγωνισμός· προσπάθεια,,,a_b_c_lexiko,1
αδειάζω,2,verb,Άδειασε το ποτήρι μέχρι κάτω.,κάνω κάτι άδειο,,,a_b_c_lexiko,1
αδελφούλα,2,noun,Η αδελφούλα μου είναι μικρή ακόμα.,μικρή αδελφή,,,a_b_c_lexiko,2
αδιάκριτος,2,adj,Μην είσαι αδιάκριτος στις συζητήσεις των άλλων.,που ανακατεύεται άσκοπα,,,a_b_c_lexiko,2
αδιάφορος,2,adj,Έμεινε αδιάφορος μπροστά στο πρόβλημα.,που δεν ενδιαφέρεται,,,a_b_c_lexiko,2
αδύναμος,2,adj,Μετά την αρρώστια ένιωθε αδύναμος.,χωρίς δύναμη,,,a_b_c_lexiko,1
αδύνατος,2,adj,Ο αδύνατος σκύλος χρειαζόταν φαγητό.,λεπτός· χωρίς δύναμη,,,a_b_c_lexiko,1
αεροπλάνο,2,noun,Το αεροπλάνο απογειώθηκε στην ώρα του.,ιπτάμενο μεταφορικό μέσο,,,a_b_c_lexiko,2
αεροσκάφος,2,noun,Το αεροσκάφος προσγειώθηκε ομαλά.,αεροπλάνο,,,a_b_c_lexiko,2
αθλητής,2,noun,Ο αθλητής κέρδισε το μετάλλιο.,που ασχολείται με άθλημα,,,a_b_c_lexiko,1
αθλητισμός,2,noun,Ο αθλητισμός κάνει καλό στην υγεία.,άσκηση και αθλήματα,,,a_b_c_lexiko,2
αιχμαλωτίζω,2,verb,Οι πειρατές αιχμαλώτισαν το πλήρωμα.,παίρνω αιχμάλωτο,,,a_b_c_lexiko,2
ακούω,2,verb,Ακούω μουσική κάθε απόγευμα.,αντιλαμβάνομαι ήχους,,,a_b_c_lexiko,1
ακριβός,2,adj,Αυτό το παιχνίδι είναι πολύ ακριβό.,που κοστίζει πολλά,,,a_b_c_lexiko,1
ακροατής,2,noun,Οι ακροατές χειροκρότησαν τον ομιλητή.,που ακούει ομιλία,,,a_b_c_lexiko,1
ακροβάτης,2,noun,Ο ακροβάτης περπάτησε στο σκοινί.,καλλιτέχνης ισορροπίας,,,a_b_c_lexiko,2
ακρογιαλιά,2,noun,Παίζαμε στην ακρογιαλιά όλο το πρωί.,άκρη της θάλασσας,,,a_b_c_lexiko,2
ακροθαλασσιά,2,noun,Καθίσαμε στην ακροθαλασσιά και κοιτούσαμε τα κύματα.,"παραλία, άκρη θάλασσας",,,a_b_c_lexiko,3
αλάτι,2,noun,Βάλε λίγο αλάτι στη σαλάτα.,καρύκευμα,,,a_b_c_lexiko,1
αλήθεια,2,noun,Πες την αλήθεια στον φίλο σου.,αυτό που ισχύει πραγματικά,,,a_b_c_lexiko,1
αλείφω,2,verb,Αλείφω βούτυρο στο ψωμί.,απλώνω κάτι παχύ,,,a_b_c_lexiko,1
αλεύρι,2,noun,Ζυμώνουμε ψωμί με αλεύρι.,σκόνη από δημητριακά,,,a_b_c_lexiko,1
αληθινός,2,adj,"Αυτό είναι αληθινό δέρμα, όχι ψεύτικο.",πραγματικός,,,a_b_c_lexiko,2
αμαρτία,2,noun,Ζήτησε συγχώρεση για την αμαρτία του.,ηθικό παράπτωμα,,,a_b_c_lexiko,1
αμπελώνας,2,noun,Ο αμπελώνας είναι γεμάτος σταφύλια.,χωράφι με αμπέλια,,,a_b_c_lexiko,2
αμύνομαι,2,verb,Αμύνθηκε γενναία απέναντι στον κίνδυνο.,υπερασπίζομαι,,,a_b_c_lexiko,1
ανάβω,2,verb,Ανάβω το φως όταν νυχτώνει.,κάνω κάτι να ανάψει,,,a_b_c_lexiko,1
ανάγκη,2,noun,Έχει ανάγκη από βοήθεια.,κάτι απαραίτητο,,,a_b_c_lexiko,1
ανάξιος,2,adj,Νιώθει ανάξιος της τιμής.,που δεν αξίζει,,,a_b_c_lexiko,1
ανάποδος,2,adj,Φόρεσε το πουλόβερ ανάποδα.,αντίστροφος,,,a_b_c_lexiko,1
ανάσα,2,noun,Πήρε μια βαθιά ανάσα πριν μιλήσει.,αναπνοή,,,a_b_c_lexiko,1
ανήσυχος,2,adj,Ήταν ανήσυχος για το αποτέλεσμα.,που ανησυχεί,,,a_b_c_lexiko,1
αναγκαίος,2,adj,Το νερό είναι αναγκαίο για τη ζωή.,απαραίτητος,,,a_b_c_lexiko,2
αναγκαστικός,2,adj,Έγινε αναγκαστική προσγείωση.,που γίνεται από ανάγκη,,,a_b_c_lexiko,3
αναγνωρίζω,2,verb,Τον αναγνώρισα από τη φωνή.,καταλαβαίνω ποιος είναι,,,a_b_c_lexiko,2
αναγνώριση,2,noun,Ζήτησε την αναγνώριση της προσπάθειάς του.,το να αναγνωρίζεται κάτι,,,a_b_c_lexiko,2
ανακαλύπτω,2,verb,Ανακάλυψε ένα κρυμμένο μονοπάτι.,βρίσκω κάτι άγνωστο,,,a_b_c_lexiko,2
ανακοινώνω,2,verb,Ο δάσκαλος ανακοίνωσε τα αποτελέσματα.,κάνω κάτι γνωστό,,,a_b_c_lexiko,2
αναπνέω,2,verb,Αναπνέουμε καθαρό αέρα στο βουνό.,παίρνω αέρα στους πνεύμονες,,,a_b_c_lexiko,1
αναποδιά,2,noun,Μας βρήκε μια αναποδιά στο ταξίδι.,"ατυχία, εμπόδιο",,,a_b_c_lexiko,1
ανασαίνω,2,verb,Ανασαίνει βαθιά μετά τον αγώνα.,αναπνέω,,,a_b_c_lexiko,1
αναστατωμένος,2,adj,Ήταν αναστατωμένος από τα νέα.,ταραγμένος,,,a_b_c_lexiko,3
ανθρώπινος,2,adj,Έδειξε ανθρώπινη συμπεριφορά.,που ανήκει στον άνθρωπο,,,a_b_c_lexiko,2
ανοίγω,2,verb,Ανοίγω το παράθυρο κάθε πρωί.,κάνω κάτι να ανοίξει,,,a_b_c_lexiko,1
ανοικοκύρευτος,2,adj,Το δωμάτιο ήταν ανοικοκύρευτο.,ακατάστατος,,,a_b_c_lexiko,3
αντέχω,2,verb,Αντέχει τη ζέστη καλύτερα από μένα.,έχω δύναμη να υπομείνω,,,a_b_c_lexiko,1
αντίκρυ,2,noun,Καθίσαμε αντίκρυ στη θάλασσα.,απέναντι,,,a_b_c_lexiko,1
ανταλλαγή,2,noun,Κάναμε ανταλλαγή γραμματοσήμων.,αλλαγή ενός πράγματος με άλλο,,,a_b_c_lexiko,3
αντιμετώπιση,2,noun,Η αντιμετώπιση του προβλήματος θέλει ηρεμία.,τρόπος να χειριστείς κάτι,,,a_b_c_lexiko,3
ανυπομονώ,2,verb,Ανυπομονώ να έρθουν οι διακοπές.,βιάζομαι να γίνει κάτι,,,a_b_c_lexiko,2
αξίζω,2,verb,Αξίζει τον κόπο η προσπάθεια.,έχω αξία,,,a_b_c_lexiko,1
απάντηση,2,noun,Έδωσε σωστή απάντηση στην ερώτηση.,αυτό που απαντάμε,,,a_b_c_lexiko,1
απαιτώ,2,verb,Απαιτώ σεβασμό από όλους.,ζητώ επιτακτικά,,,a_b_c_lexiko,1
απασχολημένος,2,adj,Είναι απασχολημένος με τα μαθήματα.,που έχει δουλειά/ασχολία,,,a_b_c_lexiko,3
απείθαρχος,2,adj,Το απείθαρχο παιδί δεν καθόταν ήσυχα.,που δεν υπακούει,,,a_b_c_lexiko,3
απειλώ,2,verb,Μην απειλείς τους συμμαθητές σου.,λέω ότι θα κάνω κακό,,,a_b_c_lexiko,1
απελπίζομαι,2,verb,Μην απελπίζεσαι· θα τα καταφέρεις.,χάνω την ελπίδα,,,a_b_c_lexiko,2
απεργία,2,noun,Οι εργαζόμενοι έκαναν απεργία.,διακοπή εργασίας ως διαμαρτυρία,,,a_b_c_lexiko,1
απογοητεύω,2,verb,Μην απογοητεύεις τους φίλους σου.,προκαλώ απογοήτευση,,,a_b_c_lexiko,2
αποθήκη,2,noun,Βάλαμε τα εργαλεία στην αποθήκη.,χώρος φύλαξης,,,a_b_c_lexiko,1
απονήρευτος,2,adj,Έμεινε απονήρευτος παρά τις δυσκολίες.,χωρίς πονηριά,,,a_b_c_lexiko,2
αποφασιστικός,2,adj,Έκανε μια αποφασιστική κίνηση.,με αποφασιστικότητα,,,a_b_c_lexiko,3
ατακτοποίητος,2,adj,Το δωμάτιο είναι ακόμα ατακτοποίητο.,χωρίς τάξη,,,a_b_c_lexiko,3
αφόρητος,2,adj,Η ζέστη ήταν αφόρητη.,που δεν αντέχεται,,,a_b_c_lexiko,1
βάζο,2,noun,Έβαλε λουλούδια στο βάζο.,δοχείο για λουλούδια,,,a_b_c_lexiko,1
βαριέμαι,2,verb,Βαριέμαι να κάθομαι χωρίς να κάνω τίποτα.,νιώθω ανία,,,a_b_c_lexiko,1
γδύσιμο,2,noun,Μετά το γδύσιμο φόρεσε τη ρόμπα.,το να γδύνεσαι,,,a_b_c_lexiko,1
γείτονας,2,noun,Ο γείτονας μάς χαιρέτησε ευγενικά.,που μένει κοντά,,,a_b_c_lexiko,1
γεια,2,noun,Του είπε «γεια» χαμογελώντας.,χαιρετισμός,,,a_b_c_lexiko,1
