word,grade,pos,hint,definition,family,synonyms,source,difficulty
αδυνατίζω,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
αμυγδαλιά,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
ανεβαίνω,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
ανόγειο,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,1
αποτελεί,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
αποφασίζω,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
αυστηρός,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
γαΐδούρι,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
γειτόνισσα,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
γυμναστική,4,adj,Συμπληρώνουμε με το επίθετο ___.,,,,mathima-orthografias,3
δερμάτινη,4,adj,Συμπληρώνουμε με το επίθετο ___.,,,,mathima-orthografias,2
διορίζομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,3
δουλεύω,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,1
δυσκίνητος,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
επιθυμία,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
επικίνδινη,4,adj,Συμπληρώνουμε με το επίθετο ___.,,,,mathima-orthografias,3
επικίνδυνη,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
ευθεία,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,1
ευτυχία,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,1
ζηλεύω,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
ιταλικό,4,adj,Συμπληρώνουμε με το επίθετο ___.,,,,mathima-orthografias,1
καταιγίδα,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
κλείνομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
κουράζομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,3
κρατιέμαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
λαχανικό,4,adj,Συμπληρώνουμε με το επίθετο ___.,,,,mathima-orthografias,2
λουκουμάς,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
λούζομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
μαρκαδόρος,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
μαϊμού,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,1
μαϊντανός,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
μολύνομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
ξεκουράζομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,3
ξυρίζομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
ονειρεύομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,3
πασαλείβω,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
περαστικός,4,adj,Συμπληρώνουμε με το επίθετο ___.,,,,mathima-orthografias,3
προσπάθεια,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
προϊόντα,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,2
σκεπάζομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,3
ταξιδεύω,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
τριαντάφυλλα,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
υπολογιστής,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
υπόγειο,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,1
φωτογράφος,4,noun,Συμπληρώνουμε με τη λέξη ___.,,,,mathima-orthografias,3
χαίρομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,2
χαϊδεύω,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,1
χειροκροτώ,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,3
χρειάζομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,3
χτενίζομαι,4,verb,Στην πρόταση γράφουμε το ρήμα ___.,,,,mathima-orthografias,3
