word,grade,pos,hint,definition,family,synonyms,source,difficulty
άναυδος,5,adj,Ο κόσμος έμεινε άναυδος από την έκπληξη.,άφωνος από έκπληξη,,,d_est_lexiko,3
άνωση,5,noun,Η άνωση κρατάει το καράβι στην επιφάνεια.,δύναμη που ωθεί σώμα προς τα πάνω μέσα σε υγρό,,,d_est_lexiko,3
άοκνος,5,adj,Είναι άοκνος εργάτης από το πρωί ως το βράδυ.,ακούραστος,άοκνα (επίρρ.) Προσδιοριζ.: προσπάθεια,,d_est_lexiko,3
άπειρος,5,noun,Είναι ακόμη άπειρος στη δουλειά.,χωρίς πείρα· ατέλειωτος,,,d_est_lexiko,3
άπνοια,5,noun,Επικρατούσε απόλυτη άπνοια στη λίμνη.,έλλειψη ανέμου,,,d_est_lexiko,3
άρτιος,5,adj,Παρουσίασε έναν άρτιος λόγο.,"πλήρης, ακέραιος","αρτιότητα Προσδιοριζ.: αριθμός (2),",,d_est_lexiko,3
αμφίβολος,5,noun,Το αποτέλεσμα της έρευνας είναι ακόμη αμφίβολο.,"αβέβαιος, αμφισβητήσιμος","αναμφισβήτητα (επίρρ.) Προσδιοριζ.: αξία, γεγονός",,d_est_lexiko,3
ανάπαυση,5,noun,Μετά τη δουλειά χρειάζομαι λίγη ανάπαυση.,διακοπή εργασίας για ξεκούραση,"αναπαύομαι, αναπαυτικός, αναπαυτικά",,d_est_lexiko,3
ανάρρωση,5,noun,Η καλή ψυχολογία βοήθησε στη γρήγορη ανάρρωση.,επιστροφή στην υγεία μετά από αρρώστια,"αναρρώνω, αναρρωτικός,",,d_est_lexiko,3
ανάσταση,5,noun,Τον γιορτάζουν την Κυριακή της Ανάστασης.,επαναφορά στη ζωή· χριστιανική γιορτή,,,d_est_lexiko,3
ανέκφραστος,5,adj,Ο ανέκφραστος ηθοποιός κοίταξε μπροστά.,που δεν δείχνει συναίσθημα,ανέκφρα στα (επίρρ.),,d_est_lexiko,3
ανέφικτος,5,adj,Ο στόχος φαινόταν ανέφικτος στην αρχή.,ακατόρθωτος,,,d_est_lexiko,3
ανέχεια,5,noun,Έζησε χρόνια μέσα στην ανέχεια.,"φτώχεια, ένδεια",,,d_est_lexiko,3
ανακριτικός,5,noun,Ο ανακριτικός υπάλληλος συνέχισε την έρευνα.,που σχετίζεται με την ανάκριση,,,d_est_lexiko,3
ανακύκλωση,5,noun,Η ανακύκλωση προστατεύει το περιβάλλον.,επαναχρησιμοποίηση υλικών,"ανακυκλώνω,",,d_est_lexiko,3
αναλφαβητισμός,5,noun,Ο αναλφαβητισμός μειώνεται με την εκπαίδευση.,αδυναμία ανάγνωσης και γραφής,αναλφάβητος Προσδιορ.: λειτουργικός,,d_est_lexiko,3
αναμονή,5,noun,Η αναμονή στη στάση του λεωφορείου ήταν ολιγόλεπτη.,το να περιμένει κανείς,αναμένω Προσδιορ.:,,d_est_lexiko,3
αναρρωτήριο,5,noun,Ο ασθενής μεταφέρθηκε στο αναρρωτήριο.,χώρος περίθαλψης για ανάρρωση,,,d_est_lexiko,3
ανασκαφή,5,noun,Η αρχαιολογική ανασκαφή αποκάλυψε ένα ψηφιδωτό.,εκσκαφή για εύρεση αρχαιοτήτων,"ανασκάπτω,",,d_est_lexiko,3
ανασκαφικός,5,noun,Το ανασκαφικό έργο συνεχίζεται το καλοκαίρι.,που σχετίζεται με ανασκαφή,,,d_est_lexiko,3
αναστάσιμος,5,noun,Άκουσαν τον αναστάσιμο ύμνο στην εκκλησία.,που σχετίζεται με την Ανάσταση,,,d_est_lexiko,3
ανατρέπω,5,verb,Η καταιγίδα μπορεί να ανατρέψει τις βάρκες.,ρίχνω κάτω· αλλάζω ριζικά,"ανατροπή, ανατρεπτικός,",,d_est_lexiko,3
ανατροφή,5,noun,Η καλή ανατροφή βασίζεται στον σεβασμό.,φροντίδα και αγωγή παιδιού,"ανατρέφω Προσδιορ.: καλή, κακή,",,d_est_lexiko,3
ανησυχία,5,noun,Η ανησυχία της μητέρας μεγάλωσε.,"αγωνία, έλλειψη ηρεμίας",,,d_est_lexiko,3
ανιστόρητος,5,adj,Είναι ανιστόρητος· δεν θυμάται βασικές ημερομηνίες.,που αγνοεί την ιστορία,"ανιστορώ, ανιστόρητα (επίρρ.)",,d_est_lexiko,3
