word,grade,pos,hint,definition,family,synonyms,source,difficulty
άβουλος,4,adj,Στις δύσκολες στιγμές είναι ___,Στις δύσκολες στιγμές είναι,"άβουλα (επίρρ.) Προσδιοριζ.: χαρακτήρας,",,d_est_lexiko,1
άγνωστος,4,adj,"Ρωτούσε πληροφορίες για κάποιον άνθρωπο, ___","Ρωτούσε πληροφορίες για κάποιον άνθρωπο,",,,d_est_lexiko,1
άδεια,4,noun,Έβγαλε ___,η συγκατάθεση που,,,d_est_lexiko,1
άθλος,4,noun,,,,,d_est_lexiko,1
άλωση,4,noun,Η ___ της Πόλης έγινε το 1453,"η κατάληψη οχυρωμένης θέσης, ιδίως πόλης,",,,d_est_lexiko,1
άμιλλα,4,noun,Η ευγενής ___,Η ευγενής άμιλλα,,,d_est_lexiko,2
άμυνα,4,noun,Η ηρωική ___ των στρατιωτών,απόκρουση επίθεσης ή,"αμύνομαι, αμυντικός, αμυντικά (επίρρ.) Προσδιορ.:",,d_est_lexiko,1
αήττητα,4,noun,,,,,d_est_lexiko,2
αήττητος,4,adj,,,,,d_est_lexiko,2
αίγλη,4,noun,,,"Αγλαΐα Προσδιορ.: αιώνια, ξεχωριστή, εξαιρετική",,d_est_lexiko,1
αίρεση,4,noun,,,,,d_est_lexiko,1
αίτηση,4,noun,Υπέβαλε ___ στο,Υπέβαλε αίτηση στο,,,d_est_lexiko,1
αίτια,4,noun,Άγνωστο κείμενο (= ___,Άγνωστο κείμενο (=,,,d_est_lexiko,1
αγέλη,4,noun,,"κοπάδια από ζώα, που",,,d_est_lexiko,1
αγαναχτώ,4,verb,Οι επιβάτες αγανάκτησαν από τη μεγάλη καθυστέρηση του αεροπλάνου ___,"(αμτβ.) θυμώνω, οργίζομαι",αγανάκτηση,,d_est_lexiko,1
αγγελία,4,noun,Διάβασα με χαρά την ___,Διάβασα με χαρά την,,,d_est_lexiko,2
αγενής,4,noun,Όλη η οικογένεια επισκέφτηκε τη λαϊκή αγορά της ___,καθορισμένος χώρος,"αγοράζω, αγοραστής,",,d_est_lexiko,1
αγνοώ,4,verb,Αγνοεί την ιστορία του τόπου του ___,"(μτβ.) δεν ξέρω, δε γνωρίζω",,,d_est_lexiko,1
αγορά,4,noun,Η ___ των,η απόκτηση αγαθών με,,,d_est_lexiko,1
αγορεύω,4,verb,Ο δικηγόρος αγόρευε ___,Ο δικηγόρος αγόρευε,"αγορά, αγορητής, αγόρευση",,d_est_lexiko,1
αγροίκος,4,adj,,,,,d_est_lexiko,1
αγρός,4,noun,,,,,d_est_lexiko,1
αγωγή,4,noun,,"η καθοδήγηση των μικροτέρων από τους μεγαλυτέρους, η ανατροφή,",,,d_est_lexiko,1
αγωγός,4,noun,Το φυσικό αέριο μεταφέρεται με αγωγό ___,σωλήνας ή αυλάκι μέσα,,,d_est_lexiko,1
αδέξιος,4,adj,,,,,d_est_lexiko,1
αδίστακτα,4,noun,,,,,d_est_lexiko,2
αδίστακτος,4,noun,,"(μτφ.) άνεση, ικανότητα, ευχέρεια",,,d_est_lexiko,2
αδίσταχτος,4,adj,Είναι αδίστακτος μπροστά στην ικανοποίηση των προσωπικών φιλοδοξιών του ___,Είναι αδίστακτος μπροστά στην ικανοποίηση των προσωπικών φιλοδοξιών του,,,d_est_lexiko,2
αδημονώ,4,verb,Αδημονούσε να ξαναδεί και να φιλήσει το χώμα ___,Αδημονούσε να ξαναδεί και να φιλήσει το χώμα,αδημονία,,d_est_lexiko,1
αδιάκοπα,4,noun,,,,,d_est_lexiko,1
αδιάκοπος,4,adj,"Για να επιτύχεις το σκοπό σου, πρέπει ___","Για να επιτύχεις το σκοπό σου, πρέπει",,,d_est_lexiko,2
αδιάσειστος,4,adj,Ο κατηγορούμενος υποστήριξε την αθωότητά του με ___,Ο κατηγορούμενος υποστήριξε την αθωότητά του με,αδιάσειστα (επίρρ.),,d_est_lexiko,2
αδιαλλαξία,4,noun,Στις συνομιλίες των δύο πλευρών κυριάρχησαν η ___ και η,Στις συνομιλίες των δύο πλευρών κυριάρχησαν η αδιαλλαξία και η,,,d_est_lexiko,3
αδράνεια,4,noun,Η ___ της άμυνας,"έλλειψη δραστηριοποίησης, απραξία, νωθρότητα",,,d_est_lexiko,1
αδρανοποίηση,4,adj,Παρά την προχωρημένη ___,που έχει φύλλα χειμώνα και καλοκαίρι,,,d_est_lexiko,3
αεροφωτογραφία,4,noun,,,"αέρινος, αεράτος, αέριος, αερίζω, αεράκι Προσδιορ.:",,d_est_lexiko,3
αθώος,4,noun,,αυτός που θεωρείται ή,,,d_est_lexiko,1
αισθάνομαι,4,verb,Αισθάνθηκα έντονα το ___,(μτβ.) αντιλαμβάνομαι,"αίσθημα, αισθηματίας, αισθηματικός, αισθητός, αισθητήριο…",,d_est_lexiko,2
αιφνιδιάζω,4,verb,,,"αιφνίδιος, αιφνιδιασμός, αιφνιδιαστικός, αιφνιδιαστικά…",,d_est_lexiko,2
αιώνας,4,noun,Τα ελαιόδεντρα ζουν περισσότερο από ___,χρονικό διάστημα εκατό χρόνων,"αιώνιος, αιώνια (επίρρ.), αιωνιότητα Προσδιορ.: χρυσός…",,d_est_lexiko,1
ακούσια,4,noun,,,,,d_est_lexiko,1
ακούσιος,4,adj,Υπήρξε ___ μάρτυρας,Υπήρξε ακούσιος μάρτυρας,,,d_est_lexiko,1
ακράδαντος,4,adj,,,"κραδασμός, ακράδαντα (επίρρ.)",,d_est_lexiko,2
ακριβός,4,adj,ακριβά (επίρρ.) ( = ___,"που έχει υψηλή τιμή,","ακριβά (επίρρ.), ακρίβεια, ακριβαίνω",,d_est_lexiko,1
ακρόαση,4,noun,Η ___ της,το να ακούει κανείς με,"ακροώμαι, ακροατής, ακροαστικά",,d_est_lexiko,1
ακτινίδιο,4,noun,,,,,d_est_lexiko,2
αλήθεια,4,noun,Η ___ είναι ότι εφέτος είχαμε,καθετί που συμφωνεί,,,d_est_lexiko,1
αλαζονεία,4,noun,Η συμπεριφορά του χαρακτηρίζεται ___,Η συμπεριφορά του χαρακτηρίζεται,,,d_est_lexiko,2
αλληλεγγύη,4,noun,"Οι μαθητές συγκέντρωσαν τρόφιμα, ___","Οι μαθητές συγκέντρωσαν τρόφιμα,",,,d_est_lexiko,3
αλληλοϋποστήριξη,4,noun,,,,,d_est_lexiko,3
αλλοίωση,4,noun,Η ___ που εμφανίζει η εικόνα της τηλεόρασης οφείλεται,αλλαγή ή μεταβολή,,,d_est_lexiko,2
αλλοδαπός,4,adj,Ζει στην αλλοδαπή (= ζει στο εξωτερικό) ___,Ζει στην αλλοδαπή (= ζει στο εξωτερικό),,,d_est_lexiko,3
αλτρουισμός,4,noun,Δείχνει πάντοτε αισθήματα φιλίας και αλτρουισμού ___,Δείχνει πάντοτε αισθήματα φιλίας και αλτρουισμού,"αλτρουιστής, αλτρουιστικός, αλτρουιστικά (επίρρ.)",,d_est_lexiko,2
αμάθεια,4,noun,,,,,d_est_lexiko,1
αμείβω,4,noun,Το χειροκρότημα ___,τα χρήματα που παίρνει,"αμείβω, αμοιβαίος, αμοιβαία (επίρρ.),",,d_est_lexiko,1
αμελώ,4,verb,Μην αμελήσεις να μου ___,Μην αμελήσεις να μου,"αμελής, αμελώς (επίρρ.), αμέλεια, αμελητέος",,d_est_lexiko,1
αμοιβή,4,noun,,,,,d_est_lexiko,1
αμοιβαιότητα,4,noun,,,,,d_est_lexiko,3
αμφιβάλλω,4,verb,___ για,Αμφιβάλλω για,"αμφίβολος,",,d_est_lexiko,3
αμφισβητώ,4,verb,Ποτέ δεν αμφισβήτησα την εξυπνάδα και ___,Ποτέ δεν αμφισβήτησα την εξυπνάδα και,"αμφισβήτηση, αμφισβητήσιμος, αμφισβητίας",,d_est_lexiko,2
ανάκριση,4,noun,,,,,d_est_lexiko,1
αναίδεια,4,noun,Η ___ του ξεπέρασε,Η αναίδειά του ξεπέρασε,"αναιδής, αναιδώς (επίρρ.) Προσδιορ.:",,d_est_lexiko,1
αναβολή,4,noun,Ο διαιτητής αποφάσισε την ___,Ο διαιτητής αποφάσισε την αναβολή,"αναβάλλω, αναβλητικός, αναβλητικότητα",,d_est_lexiko,1
αναγκάζω,4,verb,,,,,d_est_lexiko,1
αναγνωρίζω,4,verb,,(μτβ.) θυμάμαι κάποιον,,,d_est_lexiko,2
αναδρομή,4,noun,,,,,d_est_lexiko,1
αναζήτηση,4,noun,Η ___ στέγης απασχολεί κάθε χρόνο,Η αναζήτηση στέγης απασχολεί κάθε χρόνο,"αναζητώ Προσδιορ.: άμεση, επίμονη, επίπονη, επιστημονική,",,d_est_lexiko,2
ανακαίνιση,4,noun,,,"ανακαινίζω, ανακαινιστής,",,d_est_lexiko,2
ανακαινιστικός,4,noun,,,,,d_est_lexiko,3
ανακαλύπτω,4,verb,,(μτβ.) βρίσκω πρώτος,,,d_est_lexiko,2
ανακαλώ,4,verb,Ο κατηγορούμενος ανακάλεσε την πρώτη κατάθεσή ___,(μτβ.) καλώ κάποιον να,ανάκληση Φράσεις: ►Ανακαλώ στην,,d_est_lexiko,1
ανακοίνωση,4,noun,,,"άγγελος, άγγελμα, αγγελτήριο Προσδιορ.: έκτακτη, επίσημη…",,d_est_lexiko,2
ανακουφιστικός,4,noun,,,,,d_est_lexiko,3
ανακούφιση,4,noun,,,"ανακουφίζω,",,d_est_lexiko,2
ανεπιβεβαίωτος,4,noun,,,,,d_est_lexiko,3
αφαίρεση,4,noun,,,,,d_est_lexiko,1
για,4,noun,,,"αδρανώ, αδρανής, αδρανώς (επίρρ.),",,d_est_lexiko,1
διπλανού,4,noun,Αγνοούν ότι κατάγονται ___,"(μτβ.) αδιαφορώ, δε",άγνοια Φράσεις:,,d_est_lexiko,1
διφορούμενο,4,noun,,,,,d_est_lexiko,2
εκπαιδευτική,4,noun,,,,,d_est_lexiko,3
ελληνιστικό,4,noun,,,,,d_est_lexiko,3
καλλιεργήσιμη,4,noun,Στη Θεσσαλία καλλιεργούν απέραντους αγρούς με ___,Στη Θεσσαλία καλλιεργούν απέραντους αγρούς με,"αγρότης, αγροτιά, αγροτικός",,d_est_lexiko,3
κοιτάζω,4,verb,,,,,d_est_lexiko,1
