word,grade,pos,hint,definition,family,synonyms,source,difficulty
άσκηση,6,noun,Η άσκηση δυναμώνει το σώμα.,γυμναστική· πρακτική εφαρμογή,"ασκώ, ασκητής, ασκητεύω, ασκητικός,","εκγύμναση, προπόνηση (1),   εξάσκηση (1,",d_est_lexiko,3
άσωτος,6,noun,Ο άσωτος ξόδεψε όλη την περιουσία του.,σπάταλος,,,d_est_lexiko,3
άτομο,6,noun,Κάθε άτομο έχει δικαιώματα και υποχρεώσεις.,άνθρωπος ως μονάδα· μόριο,"ατομικός, ατομικά (επίρρ.), ατομικότητα, ατομισμός, ατομιστής","πρόσωπο (1), στοιχείο, μόριο (2)",d_est_lexiko,3
άτρωτος,6,adj,Νόμιζε πως είναι άτρωτος από κριτική.,που δεν πληγώνεται,,,d_est_lexiko,3
έκθεση,6,noun,Η Πινακοθήκη διοργάνωσε έκθεση ζωγραφικής.,δημόσια παρουσίαση έργων,"εκθέτω, εκθέτης, έκθετος, εκθετήριο, έκ θεμα",αναφορά (2),d_est_lexiko,3
έκταση,6,noun,Οι πλημμύρες κατέστρεψαν μεγάλες εκτάσεις.,εμβαδόν επιφάνειας,"εκτείνω, εκτεταμένος Προσδιορ.: μικρή, με γάλη,",,d_est_lexiko,3
έλλειψη,6,noun,Υπάρχει έλλειψη νερού το καλοκαίρι.,απουσία απαραίτητου,"ελλιπής, ελλειπτικός, έλλειμμα",ανεπάρκεια,d_est_lexiko,3
έννοια,6,noun,Δεν κατάλαβα την έννοια της λέξης.,σημασία· έγνοια,"νοιάζομαι, με",,d_est_lexiko,3
έξοδος,6,noun,Η έξοδος κινδύνου είναι φωτεινά σηματοδοτημένη.,μετακίνηση προς τα έξω,,,d_est_lexiko,3
έπαλξη,6,noun,Οι στρατιώτες στάθηκαν στις επάλξεις του κάστρου.,άνω μέρος οχύρωσης,,,d_est_lexiko,3
αρωγή,6,noun,Ζήτησαν κρατική αρωγή μετά την καταστροφή.,"βοήθεια, υποστήριξη",,,d_est_lexiko,3
ασθένεια,6,noun,Η ασθένεια τον κράτησε στο κρεβάτι μια εβδομάδα.,"αρρώστια, πάθηση",,πάθηση,d_est_lexiko,3
ασκητισμός,6,noun,Ο ασκητισμός απαιτεί απλότητα ζωής.,"λιτή, αυστηρή ζωή",,"διασημότητα,",d_est_lexiko,3
αστραπή,6,noun,Ξαφνικά έλαμψε μια αστραπή.,ηλεκτρική εκκένωση στον ουρανό,"αστράφτω, αστραπιαίος,",,d_est_lexiko,3
ασωτία,6,noun,Η ασωτία τον οδήγησε στη φτώχεια.,"σπατάλη, ακολασία",,,d_est_lexiko,3
ασύλληπτος,6,adj,Ο δράστης παραμένει ασύλληπτος.,που δεν έχει συλληφθεί· ακατανόητος,ασύλληπτα (επίρρ.),"άπιαστος (1),  ακατάληπτος, ακατανόητος (2)",d_est_lexiko,3
αυτοθυσία,6,noun,Έδειξε αυτοθυσία για να σώσει τους άλλους.,θυσία του εαυτού για κάτι,αυτοθυσιάζομαι,,d_est_lexiko,3
αφομοίωση,6,noun,Η επανάληψη διευκολύνει την αφομοίωση της γνώσης.,πλήρης κατανόηση και ενσωμάτωση,,,d_est_lexiko,3
αφορμή,6,noun,Βρήκε αφορμή να ξεκινήσει τη συζήτηση.,"αιτία, πρόφαση",,,d_est_lexiko,3
βάρος,6,noun,Το βάρος του κιβωτίου είναι μεγάλο.,μάζα· πίεση ευθύνης,"βηματίζω, βηματισμός Προσδιορ.: μετέωρο, διστακτικό,","βηματισμός, βάδισμα,  περπατησιά (2), δρασκελιά (3), έδρα (4)",d_est_lexiko,3
βάση,6,noun,Η πολυκατοικία έχει γερή βάση.,θεμέλιο· σημείο στήριξης,"βασίζομαι, βασικός, βασικά (επίρρ.),","υποστήριγμα,",d_est_lexiko,3
βίος,6,noun,Ο βίος πολλών συγγραφέων είναι γνωστός.,ζωή,,,d_est_lexiko,3
βαδίζω,6,verb,Βαδίζει σταθερά προς τον στόχο του.,πηγαίνω με τα πόδια,,,d_est_lexiko,3
βαθμός,6,noun,Αποστρατεύτηκε με τον βαθμό του συνταγματάρχη.,ιεραρχική θέση· μέτρο αξιολόγησης,"βαθμίδα, βαθμιαίος, βαθμιαία (επίρρ.) Προσδιορ.: θετικός (1, 5),","μέτρο (1), βαθμίδα,",d_est_lexiko,3
βελτιώνω,6,verb,Οι μαθητές βελτίωσαν τη βαθμολογία τους.,κάνω κάτι καλύτερο,"βελτίωση, βελτιώσιμος, βελτιωτικός",αναβαθμίζω,d_est_lexiko,3
βηματίζω,6,noun,Βηματίζει αργά στο διάδρομο.,κάνω βήματα,"βάδισμα, βαδιστής, βάδην (το)",,d_est_lexiko,3
βιώσιμος,6,noun,Προτείνουν ένα βιώσιμο σχέδιο ανάπτυξης.,που μπορεί να διατηρηθεί,,,d_est_lexiko,3
βοριάς,6,noun,Φυσάει δυνατός βοριάς σήμερα.,βόρειος άνεμος,,,d_est_lexiko,3
βουλευτής,6,noun,Ο βουλευτής μίλησε στη Βουλή.,εκλεγμένος εκπρόσωπος στη Βουλή,,,d_est_lexiko,3
βρίσκω,6,verb,Βρήκα το βιβλίο στη βιβλιοθήκη.,εντοπίζω,,,d_est_lexiko,3
βρόμικος,6,adj,Το παπούτσι του ήταν βρόμικο από τη λάσπη.,"λερωμένος, ακάθαρτος",,,d_est_lexiko,3
γαλήνη,6,noun,"Όταν επικρατούσε γαλήνη στη θάλασσα, βγήκαν με τη βάρκα.",ηρεμία,"γαληνεύω, γαλήνιος, γαλήνεμα Προσδιορ.: νυχτερινή (1),","νηνεμία, μπουνάτσα (1), πραότητα (2)",d_est_lexiko,3
γαλαξίας,6,noun,Ο Γαλαξίας φαίνεται καθαρά σε σκοτεινό ουρανό.,σύστημα αστέρων,,,d_est_lexiko,3
γεγονός,6,noun,Το γεγονός συγκλόνισε όλη την πόλη.,γεγονότα που συνέβησαν,,,d_est_lexiko,3
γελώ,6,verb,Τους διηγήθηκε μια ιστορία και γέλασαν όλοι.,ξεσπώ σε γέλια,"γέλιο, γελαστός, γελαστά (επίρρ.), γελοίος, γελοιότητα","ξεγελώ, παραπλανώ (2)",d_est_lexiko,3
γεννώ,6,verb,Η γάτα γέννησε τρία γατάκια.,φέρω στον κόσμο,"γέννηση, γεννητικός, γεννήτρια, γέννημα, γεννητούρια (τα) Φράσεις: ►Όπως τον γέννησε η μάνα του (= γυμνός)",τεκνοποιώ  (1),d_est_lexiko,3
γεωργία,6,noun,Η γεωργία είναι σημαντική για τη χώρα.,καλλιέργεια της γης,"γεωργός, γεωργικός",,d_est_lexiko,3
γνωρίζω,6,verb,Γνώρισα τον γείτονά μου από τη φωνή του.,μαθαίνω· παρουσιάζω,"γνώριμος, γνώριμα (επίρρ.), γνωριμία,",πληροφορώ (1),d_est_lexiko,3
γράμμα,6,noun,Το ελληνικό αλφάβητο έχει είκοσι τέσσερα γράμματα.,σύμβολο γραφής· επιστολή,"γραμματικός, γραμματική, γραμματέας,","ψηφίο (1), φιλολογία (3)",d_est_lexiko,3
γράφω,6,verb,Μου γράφει δυο φορές την εβδομάδα.,σχηματίζω γράμματα· συντάσσω,"γραφή, γραφέας, γραφείο, γραφίδα, γράψιμο, γραπτός, γράμμα, γραμμή",συγγράφω (4),d_est_lexiko,3
γωνία,6,noun,Το σχολείο μας βρίσκεται στη γωνία του δρόμου.,γωνιακό σημείο· γεωμετρικό σχήμα,"γωνιακός, γωνιαίος, γωνιώδης Φράσεις.: ►Οπτική γωνία",,d_est_lexiko,3
δέηση,6,noun,Έκαναν δέηση για ειρήνη.,"ικεσία, προσευχή",δέομαι Προσδιορ.:,ικεσία,d_est_lexiko,3
δέχομαι,6,verb,Δέχτηκε με χαρά τα δώρα.,παραλαμβάνω· αποδέχομαι,,,d_est_lexiko,3
δήλωση,6,noun,Κατέθεσε δήλωση στην εφορία.,επίσημη ανακοίνωση,,,d_est_lexiko,3
δανείζω,6,verb,Μου δάνεισε το βιβλίο του.,δίνω κάτι προσωρινά,,,d_est_lexiko,3
δημοκρατία,6,noun,Η δημοκρατία βασίζεται στην ψήφο των πολιτών.,πολίτευμα με λαϊκή κυριαρχία,"δημοκράτης, δημοκρατικός, δημοκρατικότητα",,d_est_lexiko,3
διάλογος,6,noun,Τα προβλήματα λύνονται με διάλογο.,συζήτηση ανάμεσα σε δύο ή περισσότερους,"διαλογίζομαι,",στιχομυθία,d_est_lexiko,3
διάνοια,6,noun,Είναι διάνοια στα μαθηματικά.,"μυαλό, εξαιρετική νοημοσύνη",,"ευφυΐα, μεγαλοφυΐα",d_est_lexiko,3
διάσημος,6,adj,Ένας διάσημος συγγραφέας επισκέφτηκε το σχολείο.,πολύ γνωστός,,"πασίγνωστος, φημισμένος",d_est_lexiko,3
διήγηση,6,noun,Η προφορική διήγηση κράτησε ώρα.,αφήγηση,"διήγημα Προσδιορ.: παραστατική,","εξιστόρηση, αφήγηση",d_est_lexiko,3
διαίρεση,6,noun,Το αποτέλεσμα της διαίρεσης είναι δέκα.,χωρισμός σε μέρη· αριθμητική πράξη,"διαιρέτης, διαιρετός, διαιρετέος, διαιρέσιμος Προσδιορ.: δεκαδική, τριαδική (2), φυσική (1)","διαχωρισμός, διαμελισμός (1)",d_est_lexiko,3
διακήρυξη,6,noun,Η ιδρυτική διακήρυξη υπογράφηκε πανηγυρικά.,επίσημη ανακοίνωση αρχών,,"ανακοίνωση, κοινοποίηση,",d_est_lexiko,3
διαλογικός,6,noun,Έγραψαν ένα διαλογικό κείμενο.,σε μορφή διαλόγου,,,d_est_lexiko,3
διαμαρτύρομαι,6,verb,Οι κάτοικοι διαμαρτυρήθηκαν για τον θόρυβο.,εκφράζω δυσαρέσκεια,,,d_est_lexiko,3
διαμονή,6,noun,Βρήκαν διαμονή σε ένα μικρό ξενοδοχείο.,τόπος όπου μένει κανείς,,κατοικία,d_est_lexiko,3
διαπολιτισμικός,6,adj,Οργάνωσαν μια διαπολιτισμική εκδήλωση.,που συνδέει διαφορετικούς πολιτισμούς,,,d_est_lexiko,3
διαστολή,6,noun,Η ζέστη προκαλεί διαστολή στα μέταλλα.,διεύρυνση όγκου,"διαύγεια Προσδιοριζ.: σκέψη, ατμόσφαιρα","διόγκωση, μεγέθυνση",d_est_lexiko,3
διεύθυνση,6,noun,Η διεύθυνσή μου είναι στην οδό Ερμού.,τόπος κατοικίας· διοίκηση,,,d_est_lexiko,3
διορθώνω,6,verb,Διόρθωσα τα λάθη στην ορθογραφία.,επαναφέρω κάτι στο σωστό,"διόρθωση, διόρθωμα, διορθωτής, διορθωτικός","επιδιορθώνω (1),",d_est_lexiko,3
διχόνοια,6,noun,Η ομόνοια χτίζει σπίτι κι η διχόνοια το χαλάει.,"διαίρεση, έριδα",,διένεξη,d_est_lexiko,3
