word,grade,pos,hint,definition,family,synonyms,source,difficulty
ευγενικός,1,noun,λωρίδες ξύλου. δίναι πλατύ στη μέση ___,βαρέλι [το] ουσιαστικί(βαρέλια),,,abc_lexiko,2
βαριέμαι,1,verb,"διασκεδαστικί, το βαριέσαι. Ήταν δε ___","βαριέμαι ρήμα (βαρέιηκα, ια βαρειώ)",,,abc_lexiko,1
ιηλυκί,1,noun,τελευταία λέξη της σελίδας ___.,,,,abc_lexiko,1
γρατσουνώ,1,verb,του βγάζει το δέρμα ___.,,,,abc_lexiko,2
γρατσουνιά,1,noun,"αφήνεις γυμνί. Ήταν γδύνεσαι, ___","γδύνω, γδύνομαι ρήμα (έγδυσα, ια",,,abc_lexiko,2
ξεντύνω,1,noun,"κάποιον, λέμε «γεια», «γεια σου» ___.",,,,abc_lexiko,1
γδύσιμο,1,noun,"κάποιον, λέμε «γεια», «γεια σου» ___.",,,,abc_lexiko,1
γεια,1,noun,"μένει κοντά σου, στον ίδιο δρίμο ___.","γείτονας [ο], γειτίνισσα [η] ουσιαστικί",,,abc_lexiko,1
γείτονας,1,noun,"διασκεδαστικί, πολύ αστείο. Ήταν ___",γέλιο [το] ουσιαστικί(γέλια),,,abc_lexiko,1
γελώ,1,verb,"διασκεδαστικί, πολύ αστείο. Ήταν ___",,,,abc_lexiko,1
κλαίω,1,verb,ίσα πιο πολλά πράγματα μπορείς ___.,"γεμίζω ρήμα (γέμισα, ια γεμίσω)",,,abc_lexiko,1
κλάμα,1,verb,ίσα πιο πολλά πράγματα μπορείς ___.,"γεμίζω ρήμα (γέμισα, ια γεμίσω)",,,abc_lexiko,1
γεμίζω,1,verb,ίσα πιο πολλά πράγματα μπορείς ___.,"γεμίζω ρήμα (γέμισα, ια γεμίσω)",,,abc_lexiko,1
αδειάζω,1,verb,Tι κάνω; …………...........................…… ___,- Eίμαι το αντίιετο του αδειάζω.,,,abc_lexiko,1
άγγελος,1,noun,νιώιουμε καλά να το χρησιμοποιούμε ___.,βάζω στο τέλος του το -α. Άες μερικά,,,abc_lexiko,2
κουραστικός,1,noun,επειδή δε χωρούσε στην πολυιρίνα ___.,,,,abc_lexiko,2
γλυπτί,1,noun,"ιυμώνεις πολύ, γιατί δεν είναι σωστί ___.","αγανακτώ ρήμα (αγανάκτησα, ια",,,abc_lexiko,1
Ένιωσε,1,noun,παιδιών απέναντι στο σκύλο. ◊ταν ___,,,,abc_lexiko,1
αγαπώ,1,noun,σου αρέσει να είσαι μαζί του ___.,"αγαπώ και αγαπάω, αγαπιέμαι ρήμα",,,abc_lexiko,1
μισώ,1,noun,νιώιεις αγάπη γι’ αυτίν. Ήταν ___,,,,abc_lexiko,1
πρίσωπο,1,noun,με το χέρι σου απαλά ___.,"αγγίζω, αγγίζομαι ρήμα (άγγιξα, ια",,,abc_lexiko,1
πιάνω,1,noun,άγγιγμα της μητέρας του ___.,,,,abc_lexiko,1
κοπάδι,1,noun,κάνει με το Ύεί ή την εκκλησία ___.,,,,abc_lexiko,1
αγκαλιά,1,noun,τον παίρνεις αγκαλιά ___.,αγκαλιά [η] ουσιαστικί(αγκαλιές),,,abc_lexiko,2
αγκαλιά,1,noun,στην άκρη μίας μακριάς αλυσίδας ___.,αγκίστρι [το] ουσιαστικί(αγκίστρια),,,abc_lexiko,1
καλός,1,noun,άνιρωπος κι έχει καλή ψυχή ___.,,,,abc_lexiko,1
απονήρευτος,1,noun,O ιείος Αλέκος έχει αγνίτητα ___.,,,,abc_lexiko,2
πονηρίς,1,noun,O ιείος Αλέκος έχει αγνίτητα ___.,,,,abc_lexiko,1
γνωστίς,1,noun,η Αιηνά στο ιείο Δάκη ___.,αγορά [η] ουσιαστικί(αγορές),,,abc_lexiko,1
αγορά,1,noun,O ∫ώστας είναι αγίρι. δίναι το ___,"αγοραστής [ο], αγοράστρια [η]",,,abc_lexiko,1
γράμμα,1,noun,"φύση, μακριά απί τον άνιρωπο. Δα ___",,,,abc_lexiko,2
ήμερος,1,noun,τον πλησιάσουν εύκολα ___.,,,,abc_lexiko,1
αγρίτης,1,noun,στα χωράφια και τα καλλιεργεί ___.,"αγρίτης [ο], αγρίτισσα [η] ουσιαστικί",,,abc_lexiko,1
γεωργίς,1,noun,παράγει αγροτικά προ˚ίντα ___.,,,,abc_lexiko,1
αγώνας,1,noun,Δο αγώνισμα είναι ένα άιλημα ___.,αγώνισμα [το] ουσιαστικί(αγωνίσματα),,,abc_lexiko,1
κενίς,1,noun,"άδειο, ίταν είναι βλάκας ή κουτίς ___.",,,,abc_lexiko,1
γεμάτος,1,noun,"άδειο, ίταν είναι βλάκας ή κουτίς ___.",,,,abc_lexiko,1
